NAME                          ID              SIZE      MODIFIED    
phi3:latest                   4f2222927938    2.2 GB    4 weeks ago    
stable-code:3b-code-q4_0      e6b8d206c668    1.6 GB    4 weeks ago    
qwen2.5:3b                    357c53fb659c    1.9 GB    5 weeks ago    
smollm2:1.7b                  cef4a1e09247    1.8 GB    5 weeks ago    
llama3.2:1b                   baf6a787fdff    1.3 GB    5 weeks ago    
gemma3:latest                 a2af6cc3eb7f    3.3 GB    5 weeks ago    
llava:7b                      8dd30f6b0cb1    4.7 GB    6 weeks ago    
gemma3:4b                     a2af6cc3eb7f    3.3 GB    7 weeks ago    
gemma2:2b                     8ccf136fdd52    1.6 GB    7 weeks ago    
amsaravi/medgemma-4b-it:q8    905dc0be940a    5.0 GB    7 weeks ago    
amsaravi/medgemma-4b-it:q6    67442730c159    4.0 GB    7 weeks ago    
